"vote","office","count"
"GRITTY","Local BOE- Haddon Township","5"
"N-A","Somerdale Council","4"
"NO","Black Horse Pike Regional Member BOE Glouc Twp","4"
"DONALD TRUMP","Black Horse Pike Regional Member BOE Glouc Twp","3"
"DONALD-TRUMP","Local BOE- Cherry Hill Township","3"
"ELMO","Local BOE- Waterford Township","3"
"FU","Board of Chosen Freeholders","3"
"GOD","Board of Chosen Freeholders","3"
"ME","Local BOE- Berlin Township","3"
"MICKEY","Local BOE- Oaklyn Boro","3"
"NA","Local BOE- Oaklyn Boro","3"
"NO","Local BOE- Gloucester Township","3"
"NOBODY","Local BOE- Winslow Township","3"
"NOONE","Local BOE- Haddon Township","3"
"NOPE","Local BOE- Cherry Hill Township","3"
"NOTA","Local BOE- Berlin Township","3"
"SIN","Local BOE- Stratford Boro","3"
"TRUMP","Magnolia Council","3"
"X","Local BOE- Stratford Boro","3"
"A","Runnemede Council","2"
"ANYBODY ELSE","Merchantville Mayor","2"
"ANYONE ELSE","Local BOE-Pennsauken Twp UNEX","2"
"ANYONE ELSE","Merchantville Mayor","2"
"CRAP","Barrington Council","2"
"CURIOUS GEORGE","Oaklyn Council","2"
"GOD","Pennsauken Twp. Committee","2"
"GRITTY","House of Representatives 1st District","2"
"GRITTY","Local BOE- Clementon Boro","2"
"GRITTY","Sheriff","2"
"ME","Berlin Twp Council","2"
"ME","Oaklyn Council","2"
"MICKEY","Oaklyn Council","2"
"MICKEY","Oaklyn Council UNEX 1YR","2"
"MYSELF","Berlin Twp Council","2"
"NA","Somerdale Council","2"
"N-A","Sterling Regional Member BOE Somerdale UNEX","2"
"NO","Local BOE- Mt Ephraim Boro","2"
"NOBODY","Local BOE- Haddon Township","2"
"NONE","Local BOE- Haddon Township","2"
"NONE","Sterling Regional Member BOE Somerdale UNEX","2"
"PRIVATIZE","Local BOE- Merchantville Boro","2"
"VOID","Local BOE- Bellmawr Boro","2"
"A","Black Horse Pike Regional Member BOE Glouc Twp","1"
"A","Winslow Twp. Committee Ward 2","1"
"AL BUNDY","Lindenwold Council","1"
"ALEX-JONES","Black Horse Pike Regional Member BOE Glouc Twp","1"
"ANY","Berlin Twp Council","1"
"ANYBODY BUT KIM","Local BOE- Haddon Heights Boro","1"
"ANYBODY ELSE","Runnemede Council","1"
"ANYBODY ELSE BUT THEM","Local BOE- Clementon Boro","1"
"ANYONE ELSE","Barrington Council","1"
"ANYONE ELSE","Black Horse Pike Regional Member BOE Glouc Twp","1"
"ANYONE ELSE","Gloucester City Council Ward 3","1"
"ANYONE ELSE","Gloucester City Mayor","1"
"ANYONE-ELSE","Barrington Council","1"
"ANYONE-ELSE","Black Horse Pike Regional Member BOE Glouc Twp","1"
"ANYONE-ELSE","Merchantville Mayor","1"
"ANYONE-ELSE","Runnemede Council","1"
"ANYONE-ELSE","Runnemede Mayor","1"
"ARAGORN","Merchantville Council","1"
"B","Black Horse Pike Regional Member BOE Glouc Twp","1"
"B","Gloucester City Council Ward 3","1"
"BABE RUTH","House of Representatives 1st District","1"
"BABY GOATY","Bellmawr Council","1"
"BATMAN","Board of Chosen Freeholders","1"
